ticker,yearReport,lengthReport,TOTAL ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Balances with the SBV,Placements with and loans to other credit institutions,"Trading Securities, net",Trading Securities,Provision for diminution in value of Trading Securities,Derivatives and other financial liabilities,"Loans and advances to customers, net",Loans and advances to customers,Less: Provision for losses on loans and advances to customers,Investment Securities,Available-for Sales Securities,Held-to-Maturity Securities,Less: Provision for diminution in value of investment securities,Long-term investments (Bn. VND),Investments in associate companies,Other long-term assets (Bn. VND),Less: Provision for diminuation in value of long term investments,Fixed assets (Bn. VND),Tangible fixed assets,Intagible fixed assets,Investment in properties,Other Assets,TOTAL RESOURCES (Bn. VND),LIABILITIES (Bn. VND),Due to Gov and borrowings from SBV,Deposits and borrowings from other credit institutions,Deposits from customers,_Derivatives and other financial liabilities,"Funds received from Gov, international and other institutions",Convertible bonds/CDs and other valuable papers issued,Other liabilities,OWNER'S EQUITY(Bn.VND),Capital,Reserves,Foreign Currency Difference reserve,Undistributed earnings (Bn. VND),Paid-in capital (Bn. VND),MINORITY INTERESTS
ACB,2020,2,396760420000000,5518509000000,20813912000000,25070380000000,635958000000,776995000000,-141037000000,129009000000,280990276000000,283755020000000,-2764744000000,54129458000000,11139839000000,43506523000000,-516904000000,97895000000,1441000000,101827000000,-5373000000,3756172000000,2687750000000,1068422000000,358225000000,5260626000000,396760420000000,365927975000000,0,2366296000000,330551052000000,0,134393000000,23090786000000,9785448000000,30832445000000,16899152000000,4595981000000,8397000000,9328915000000,16627373000000,0
ACB,2020,1,387396053000000,5466150000000,12671154000000,30650377000000,2035207000000,2243213000000,-208006000000,0,272135299000000,274793621000000,-2658322000000,54187498000000,14796407000000,39940573000000,-549482000000,97884000000,1441000000,101827000000,-5384000000,3772593000000,2729405000000,1043188000000,359950000000,6019941000000,387396053000000,357983688000000,0,13433213000000,312653631000000,19288000000,143276000000,22989196000000,8745084000000,29412365000000,16899152000000,4595981000000,9972000000,7907260000000,16627373000000,0
ACB,2019,4,383514439000000,6437812000000,10420306000000,30341599000000,2985262000000,3145903000000,-160641000000,87753000000,266164852000000,268700541000000,-2535689000000,55956160000000,10601503000000,45821522000000,-466865000000,97884000000,1441000000,101827000000,-5384000000,3770219000000,2721100000000,1049119000000,361676000000,6890916000000,383514439000000,355761932000000,0,19248572000000,308129391000000,0,156147000000,20830836000000,7396986000000,27752507000000,16799171000000,4613420000000,0,6339916000000,16627373000000,0
ACB,2019,3,358175116000000,5572625000000,5973123000000,25612836000000,792641000000,933861000000,-141220000000,48709000000,253342924000000,256052028000000,-2709104000000,56188889000000,10814060000000,45862379000000,-487550000000,151891000000,1398000000,155827000000,-5334000000,3490743000000,2662187000000,828556000000,222972000000,6777763000000,358175116000000,332810807000000,0,8628094000000,298007119000000,0,149326000000,18536249000000,7490019000000,25364309000000,15961648000000,3693219000000,-1434000000,5710876000000,16627373000000,0
ACB,2019,2,350938171000000,6553800000000,7775415000000,28088067000000,252870000000,418712000000,-165842000000,10969000000,248029667000000,250704406000000,-2674739000000,50163340000000,7329341000000,43327073000000,-493074000000,151824000000,1398000000,155827000000,-5401000000,3315801000000,2587230000000,728571000000,223063000000,6373355000000,350938171000000,327104466000000,794854000000,11843899000000,291279937000000,0,149172000000,16139450000000,6897154000000,23833705000000,12220152000000,3693219000000,17174000000,7903160000000,12885877000000,0
ACB,2019,1,335802627000000,6486237000000,9209490000000,25444809000000,362702000000,521780000000,-159078000000,6613000000,234791366000000,237357737000000,-2566371000000,48902064000000,7375209000000,41995287000000,-468432000000,151878000000,1398000000,155827000000,-5347000000,3220924000000,2629044000000,591880000000,223153000000,7003391000000,335802627000000,313419182000000,0,23564352000000,275070155000000,0,152018000000,7961092000000,6671565000000,22383445000000,12220152000000,3693069000000,-343000000,6470567000000,12885877000000,0
ACB,2018,4,329333241000000,6129169000000,10683536000000,18769776000000,1177972000000,1339157000000,-161185000000,0,227983048000000,230527220000000,-2544172000000,53380061000000,8201643000000,45635016000000,-456598000000,155975000000,1398000000,159927000000,-5350000000,3233388000000,2640643000000,592745000000,247454000000,7572862000000,329333241000000,308315342000000,3074100000000,20718382000000,269998503000000,38198000000,160093000000,8290918000000,6035148000000,21017899000000,12220152000000,3693069000000,0,5104678000000,12885877000000,0
ACB,2018,3,312777917000000,5220544000000,7872030000000,15466552000000,792343000000,934135000000,-141792000000,0,218543139000000,220939364000000,-2396225000000,54569454000000,9226701000000,45780556000000,-437803000000,180222000000,1668000000,183927000000,-5373000000,3140503000000,2628638000000,511865000000,223354000000,6769776000000,312777917000000,293259129000000,0,15165276000000,267975270000000,30543000000,161379000000,3980000000000,5946661000000,19518788000000,10593415000000,2913780000000,-133880000000,6145473000000,11259140000000,0
ACB,2018,2,309968108000000,5340394000000,7070410000000,17354706000000,1118337000000,1275600000000,-157263000000,0,219589010000000,221861170000000,-2272160000000,49659062000000,7412924000000,42723718000000,-477580000000,189911000000,1668000000,193927000000,-5684000000,3126122000000,2628402000000,497720000000,235559000000,6284597000000,309968108000000,291649256000000,0,14574903000000,267801485000000,25907000000,135679000000,3635000000000,5476282000000,18318852000000,10593415000000,2913780000000,-24394000000,4836051000000,11259140000000,0
ACB,2018,1,299855182000000,4818945000000,10543807000000,15940304000000,522210000000,648877000000,-126667000000,74388000000,209680324000000,211670318000000,-1989994000000,47720460000000,6649243000000,41508486000000,-437269000000,189954000000,1668000000,193927000000,-5641000000,3029494000000,2506388000000,523106000000,255979000000,7079317000000,299855182000000,282677922000000,0,14177604000000,258252752000000,0,138854000000,4019000000000,6089712000000,17177260000000,9607514000000,2913780000000,1927000000,4654039000000,10273239000000,0
ACB,2017,4,284316123000000,4851710000000,8314574000000,8941727000000,1236555000000,1239991000000,-3436000000,0,196617147000000,198461785000000,-1844638000000,52718405000000,8007491000000,45151482000000,-440568000000,190042000000,51668000000,193927000000,-55553000000,3007618000000,2474830000000,532788000000,256132000000,8182213000000,284316123000000,268285276000000,0,15453746000000,241392932000000,10491000000,136466000000,6761000000000,4530641000000,16030847000000,9607514000000,2913780000000,0,3509553000000,10273239000000,0
ACB,2017,3,270264504000000,4080492000000,7411264000000,10550526000000,583627000000,651202000000,-67575000000,18205000000,181584447000000,184475382000000,-2890935000000,54755014000000,8570014000000,49175000000000,-2990000000000,189119000000,1626000000,193927000000,-6434000000,3036171000000,2501154000000,535017000000,256502000000,7799137000000,270264504000000,254841109000000,0,9216485000000,234030237000000,0,130178000000,6552000000000,4912209000000,15423395000000,9607514000000,2583754000000,-16232000000,1526911000000,10273239000000,1721448000000
ACB,2017,2,265841867000000,4239589000000,8574078000000,8144951000000,555436000000,576239000000,-20803000000,0,179015075000000,181640299000000,-2625224000000,54707922000000,9161234000000,48417891000000,-2871203000000,188963000000,1626000000,193927000000,-6590000000,3045818000000,2499886000000,545932000000,266483000000,7103552000000,265841867000000,250957542000000,0,9677429000000,230186378000000,8082000000,136520000000,6544000000000,4405133000000,14884325000000,9607514000000,2583754000000,-8505000000,2701562000000,10273239000000,0
ACB,2017,1,251536647000000,3797320000000,4324502000000,7953345000000,519857000000,542981000000,-23124000000,30700000000,175104008000000,177413536000000,-2309528000000,48529908000000,12318408000000,39269431000000,-3057931000000,192011000000,1626000000,199537000000,-9152000000,2902958000000,2398753000000,504205000000,266847000000,7915191000000,251536647000000,236980600000000,654638000000,4299191000000,221244954000000,0,131297000000,6404000000000,4246520000000,14556047000000,9607514000000,2583754000000,15165000000,2349614000000,10273239000000,0
ACB,2016,4,233680877000000,3541388000000,5119306000000,8152027000000,1183306000000,1211314000000,-28008000000,16065000000,161604426000000,163401221000000,-1796795000000,42801465000000,10962613000000,34824159000000,-2985307000000,190194000000,1626000000,199537000000,-10969000000,2850558000000,2338722000000,511836000000,208720000000,8013422000000,233680877000000,219618161000000,0,2235115000000,207051269000000,0,122697000000,6615000000000,3594080000000,14062716000000,8711240000000,2590181000000,0,2761295000000,9376965000000,0
ACB,2016,3,228866885000000,3415909000000,7931583000000,5266253000000,974898000000,995058000000,-20160000000,0,158001647000000,159801988000000,-1800341000000,41956982000000,11233444000000,33892274000000,-3168736000000,189672000000,1593000000,199537000000,-11458000000,2750785000000,2289200000000,461585000000,47754000000,8331402000000,228866885000000,215141665000000,0,3341091000000,201386210000000,14003000000,143613000000,5683000000000,4573748000000,13725220000000,8711240000000,2374324000000,-9139000000,2648795000000,9376965000000,0
ACB,2016,2,221825953000000,3197649000000,3011393000000,9593700000000,1067892000000,1080042000000,-12150000000,0,154538408000000,156278677000000,-1740269000000,40079041000000,6215269000000,36590114000000,-2726342000000,190038000000,1593000000,199537000000,-11092000000,2523845000000,2069220000000,454625000000,42678000000,7581309000000,221825953000000,208436795000000,0,8400797000000,190502670000000,16505000000,174554000000,5664000000000,3678269000000,13389158000000,8711240000000,2374324000000,-11379000000,2314973000000,9376965000000,0
ACB,2016,1,209867855000000,3056874000000,5004056000000,9359554000000,458642000000,466107000000,-7465000000,672000000,142519799000000,144229343000000,-1709544000000,38727097000000,8758234000000,32319629000000,-2350766000000,190304000000,1593000000,199537000000,-10826000000,2480841000000,2052263000000,428578000000,42758000000,8027258000000,209867855000000,196764472000000,515054000000,8539910000000,181063369000000,0,176660000000,3380000000000,3089479000000,13103383000000,8711240000000,2374324000000,5565000000,2012254000000,9376965000000,0
ACB,2015,4,201456985000000,2806088000000,4608680000000,10122200000000,168057000000,216473000000,-48416000000,47603000000,132490987000000,134031804000000,-1540817000000,38611544000000,11827809000000,28821509000000,-2037774000000,208219000000,1593000000,217204000000,-10578000000,2479567000000,2054258000000,425309000000,61921000000,9852119000000,201456985000000,188669443000000,5178981000000,2433330000000,174918997000000,0,161678000000,3075000000000,2901457000000,12787542000000,8711240000000,2374178000000,0,1702124000000,9376965000000,0
